category,subcategory,element_id,element_label,collection_rules,onestop_rules,granule_rules,doi_minting_rules,data_citation_rules,doi_landing_page_rules,rationale,content,REQUIRED_IF,LOGIC,OR,score,xpath
History,Acquisition,instrumentKeyword,Instrument Keyword,Recommended,Required,Not Required,Not Required,Not Required,Not Required,Acquisition is required if Lineage is not documented.,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'instrument']/gmd:keyword
History,Acquisition,instrumentKeywordThesaurus,Instrument Keyword Thesaurus,Recommended,Required,Not Required,Not Required,Not Required,Not Required,Acquisition is required if Lineage is not documented.,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'instrument']/gmd:thesaurusName/gmd:CI_Citation/gmd:title
History,Acquisition,platformDescription,Platform Description,Required,Required,Not Required,Not Required,Not Required,Not Required,Acquisition is required if Lineage is not documented.,,,,,1,//gmi:MI_AcquisitionInformation//gmi:MI_Platform/gmi:description
History,Acquisition,platformID,Platform Identifier,Required,Required,Not Required,Not Required,Not Required,Not Required,Acquisition is required if Lineage is not documented.,,,,,1,//gmi:MI_AcquisitionInformation//gmi:MI_Platform/gmi:identifier//gmd:code
History,Acquisition,platformKeyword,Platform Keyword,Recommended,Required,Not Required,Not Required,Not Required,Not Required,Acquisition is required if Lineage is not documented.,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'platform']/gmd:keyword
History,Acquisition,platformKeywordThesaurus,Platform Keyword Thesaurus,Recommended,Required,Not Required,Not Required,Not Required,Not Required,Acquisition is required if Lineage is not documented.,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'platform']/gmd:thesaurusName/gmd:CI_Citation/gmd:title
History,Lineage,source,Input Source,Required,Required,Not Required,Not Required,Not Required,Not Required,Lineage is required if Acquisition is not documented.,,lineageScope != repository,ONLY,,1,//gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage//gmd:source
History,Lineage,lineageScope,Lineage Scope,Required,Required,Not Required,Not Required,Not Required,Not Required,Lineage is required if Acquisition is not documented.,,lineageScope != repository,ONLY,,1,//gmd:DQ_DataQuality[gmd:lineage]/gmd:scope/gmd:DQ_Scope/gmd:level/gmd:MD_ScopeCode/@codeListValue
History,Lineage,processStep,Process Step,Required,Required,Not Required,Not Required,Not Required,Not Required,Lineage is required if Acquisition is not documented.,,lineageScope != repository,ONLY,,1,//gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage[gmd:processStep or gmd:sourceStep]//gmd:description
History,Lineage,processor,Processor,Required,Required,Not Required,Not Required,Not Required,Not Required,Lineage is required if Acquisition is not documented.,,lineageScope != repository,ONLY,,1,//gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage//gmd:processor/gmd:CI_ResponsibleParty
